networkname, pathsfound, time-per-hsa, time-per-time, mem-usage
0,1,0,0,416,0.0,0.0
0,1,1,0,404,0.0,0.0
0,1,2,0,417,0.0,0.0
0,1,3,0,471,0.0,0.0
0,2,0,0,338,0.0,0.0
0,2,1,0,423,0.0,0.0
0,2,2,0,426,0.0,0.0
0,2,3,0,423,0.0,0.0
0,3,0,0,389,0.0,0.0
0,3,1,0,415,0.0,0.0
0,3,2,0,416,0.0,0.0
0,3,3,0,475,0.0,0.0
0,4,0,44,1121,0.0,0.0
0,4,1,44,1200,0.0,0.0
0,4,2,80,3241,0.0,0.0
0,4,3,80,2817,0.0,0.0
0,5,0,58,1067,0.0,0.0
0,5,1,58,1475,0.0,0.0
0,5,2,122,4184,0.0,0.0
0,5,3,122,4815,0.0,0.0
0,6,0,568,1940,0.01,0.0
0,6,1,568,4634,0.01,0.0
0,6,2,1330,20538,0.04,0.0
0,6,3,1330,19100,0.04,0.0
0,7,0,7346,10908,0.09,0.01
0,7,1,7346,80302,0.17,0.01
0,7,2,17594,385631,0.6,0.02
0,7,3,21239,566941,0.83,0.02
0,8,0,45112,56333,0.57,0.02
0,8,1,45112,710428,1.23,0.03
0,8,2,123746,3525689,5.27,0.12
0,8,3,168802,4624928,6.61,0.15
0,9,0,181306,212146,2.2800000000000002,0.06
0,9,1,181306,3195793,5.44,0.1
0,9,2,575098,24571874,32.82,0.57
0,9,3,846973,33816403,46.7,0.75
0,10,0,559928,612570,6.93,0.18
0,10,1,559928,14374918,20.83,0.31
0,10,2,2033522,111483555,136.99,2.03
0,10,3,3153266,153010114,193.97,2.76
0,11,0,1445458,1534680,17.99,0.44
0,11,1,1445458,38335864,58.35,0.79
0,11,2,5935370,397920895,469.71,5.94
0,11,3,9548875,579297048,703.22,8.25
0,12,0,3276856,3477866,41.37,0.97
0,12,1,3276856,88634305,126.76,1.79
0,12,2,15036514,1348980324,1536.29,15.33
0,12,3,24866914,2076876360,2357.15,21.39
0,13,0,6731642,7131207,81.4,1.95
0,13,1,6731642,258875488,338.15,3.64
0,13,2,34169786,4237438377,4696.0,35.02
0,13,3,57730337,4098902802,4849.0,49.29
0,14,0,12800056,13329718,161.41,3.65
0,14,1,12800056,583744374,748.58,6.91
0,14,2,71250098,14317453250,15848.0,73.58
0,14,3,122450098,15863350692,18736.0,115.94
0,15,0,22869298,23780885,277.71,6.44
0,15,1,22869298,1138565851,1425.52,12.42
0,15,2,138562522,31297443203,35183.0,144.91
0,15,3,241474111,47000828770,54833.0,231.57
0,16,0,38817848,41285018,491.68,10.84
0,16,1,38817848,2283924618,2670.5,21.04
0,16,2,,,,> 250gb 
0,16,3,,,,> 250gb 
1,1,0,0,1162,0.0,0.0
1,1,1,0,1132,0.0,0.0
1,1,2,0,1214,0.0,0.0
1,1,3,0,1090,0.0,0.0
1,2,0,0,1138,0.0,0.0
1,2,1,0,1210,0.0,0.0
1,2,2,0,1097,0.0,0.0
1,2,3,0,1145,0.0,0.0
1,3,0,0,1077,0.0,0.0
1,3,1,0,1377,0.0,0.0
1,3,2,0,1145,0.0,0.0
1,3,3,0,1007,0.0,0.0
1,4,0,144,4263,0.0,0.0
1,4,1,144,6880,0.01,0.0
1,4,2,233,16594,0.02,0.0
1,4,3,239,16166,0.02,0.0
1,5,0,284,5817,0.01,0.0
1,5,1,284,9905,0.01,0.0
1,5,2,686,36241,0.05,0.0
1,5,3,800,44905,0.06,0.01
1,6,0,270824,520977,5.74,0.15
1,6,1,270824,2417747,7.65,0.21
1,6,2,812303,18481713,36.21,0.98
1,6,3,825265,18536731,36.37,1.0
1,7,0,53253132,75555604,1053.05,21.03
1,7,1,53253132,692866259,1621.22,33.05
1,7,2,,,,> 250gb 
1,7,3,,,,> 250gb 
1,8,0,,,,> 250gb 
1,8,1,,,,> 250gb 
1,8,2,,,,> 250gb 
1,8,3,,,,> 250gb 
1,9,0,,,,> 250gb 
1,9,1,,,,> 250gb 
1,9,2,,,,> 250gb 
1,9,3,,,,> 250gb 
1,10,0,,,,> 250gb 
1,10,1,,,,> 250gb 
1,10,2,,,,> 250gb 
1,10,3,,,,> 250gb 
1,11,0,,,,> 250gb 
1,11,1,,,,> 250gb 
1,11,2,,,,> 250gb 
1,11,3,,,,> 250gb 
1,12,0,,,,> 250gb 
1,12,1,,,,> 250gb 
1,12,2,,,,> 250gb 
1,12,3,,,,> 250gb 
1,13,0,,,,> 250gb 
1,13,1,,,,> 250gb 
1,13,2,,,,> 250gb 
1,13,3,,,,> 250gb 
1,14,0,,,,> 250gb 
1,14,1,,,,> 250gb 
1,14,2,,,,> 250gb 
1,14,3,,,,> 250gb 
1,15,0,,,,> 250gb 
1,15,1,,,,> 250gb 
1,15,2,,,,> 250gb 
1,15,3,,,,> 250gb 
1,16,0,,,,> 250gb 
1,16,1,,,,> 250gb 
1,16,2,,,,> 250gb 
1,16,3,,,,> 250gb 
2,1,0,0,2665,0.0,0.0
2,1,1,0,2609,0.0,0.0
2,1,2,0,2893,0.0,0.0
2,1,3,0,2570,0.0,0.0
2,2,0,0,2488,0.0,0.0
2,2,1,0,2526,0.0,0.0
2,2,2,0,2653,0.0,0.0
2,2,3,0,2508,0.0,0.0
2,3,0,0,2565,0.0,0.0
2,3,1,0,2442,0.0,0.0
2,3,2,0,2485,0.0,0.0
2,3,3,0,2480,0.0,0.0
2,4,0,176,8446,0.01,0.0
2,4,1,176,13813,0.02,0.0
2,4,2,188,26357,0.03,0.0
2,4,3,188,27061,0.03,0.0
2,5,0,792,17644,0.04,0.0
